(nanogpt) joy@joys-MacBook-Pro: ~/Git/nanogpt master $ python train.py config/train_shakespeare_char.py --device=mps --compile=False
Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = mps
Overriding: compile = False
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
/Users/joy/Git/nanogpt/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
/Users/joy/Git/nanogpt/.venv/lib/python3.10/site-packages/torch/cuda/amp/grad_scaler.py:31: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  super().__init__(
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: False
iter 720: loss 1.4430, time 549.70ms, mfu 0.66%
iter 730: loss 1.4213, time 583.91ms, mfu 0.66%
iter 740: loss 1.4279, time 570.48ms, mfu 0.66%
step 750: train loss 1.3661, val loss 1.5927
saving checkpoint to out-shakespeare-char
iter 750: loss 1.4277, time 60017.26ms, mfu 0.60%
iter 760: loss 1.4483, time 552.65ms, mfu 0.60%
iter 770: loss 1.4247, time 607.42ms, mfu 0.60%
iter 780: loss 1.4138, time 553.04ms, mfu 0.61%
iter 790: loss 1.4190, time 552.02ms, mfu 0.62%
iter 800: loss 1.4313, time 553.62ms, mfu 0.62%
iter 810: loss 1.4108, time 557.40ms, mfu 0.63%
iter 820: loss 1.4159, time 553.74ms, mfu 0.63%
iter 830: loss 1.3996, time 550.44ms, mfu 0.64%
iter 840: loss 1.4036, time 554.90ms, mfu 0.64%
iter 850: loss 1.4002, time 559.08ms, mfu 0.64%
iter 860: loss 1.3933, time 551.12ms, mfu 0.65%
iter 870: loss 1.3966, time 569.32ms, mfu 0.65%
iter 880: loss 1.3781, time 560.33ms, mfu 0.65%
iter 890: loss 1.3862, time 614.02ms, mfu 0.64%
iter 900: loss 1.3710, time 557.64ms, mfu 0.65%
iter 910: loss 1.3200, time 554.47ms, mfu 0.65%
iter 920: loss 1.3665, time 552.39ms, mfu 0.65%
iter 930: loss 1.3580, time 550.55ms, mfu 0.65%
iter 940: loss 1.3510, time 551.02ms, mfu 0.66%
iter 950: loss 1.3477, time 550.32ms, mfu 0.66%
iter 960: loss 1.3628, time 552.87ms, mfu 0.66%
iter 970: loss 1.3555, time 555.06ms, mfu 0.66%
iter 980: loss 1.3578, time 554.02ms, mfu 0.66%
iter 990: loss 1.3403, time 556.46ms, mfu 0.66%
step 1000: train loss 1.2759, val loss 1.5268
saving checkpoint to out-shakespeare-char
iter 1000: loss 1.3375, time 59808.98ms, mfu 0.60%
iter 1010: loss 1.3339, time 551.89ms, mfu 0.61%
iter 1020: loss 1.3161, time 550.41ms, mfu 0.61%
iter 1030: loss 1.3407, time 550.59ms, mfu 0.62%
iter 1040: loss 1.3603, time 550.09ms, mfu 0.62%
iter 1050: loss 1.2955, time 553.83ms, mfu 0.63%
iter 1060: loss 1.3369, time 555.44ms, mfu 0.63%
iter 1070: loss 1.3336, time 554.44ms, mfu 0.64%
iter 1080: loss 1.3398, time 550.78ms, mfu 0.64%
iter 1090: loss 1.3549, time 550.73ms, mfu 0.64%
iter 1100: loss 1.3164, time 550.81ms, mfu 0.65%
iter 1110: loss 1.2975, time 557.83ms, mfu 0.65%
iter 1120: loss 1.2977, time 556.95ms, mfu 0.65%
iter 1130: loss 1.2969, time 550.94ms, mfu 0.65%
iter 1140: loss 1.2985, time 551.36ms, mfu 0.66%
iter 1150: loss 1.3070, time 552.62ms, mfu 0.66%
iter 1160: loss 1.3365, time 553.85ms, mfu 0.66%
iter 1170: loss 1.2970, time 553.11ms, mfu 0.66%
iter 1180: loss 1.3156, time 565.47ms, mfu 0.66%
iter 1190: loss 1.2734, time 557.87ms, mfu 0.66%
iter 1200: loss 1.2873, time 554.97ms, mfu 0.66%
iter 1210: loss 1.2645, time 566.90ms, mfu 0.66%
iter 1220: loss 1.3019, time 556.07ms, mfu 0.66%
iter 1230: loss 1.3020, time 551.42ms, mfu 0.66%
iter 1240: loss 1.2965, time 553.74ms, mfu 0.67%
step 1250: train loss 1.2040, val loss 1.5018
saving checkpoint to out-shakespeare-char
iter 1250: loss 1.2795, time 61110.74ms, mfu 0.60%
iter 1260: loss 1.2853, time 552.20ms, mfu 0.61%
iter 1270: loss 1.2681, time 552.77ms, mfu 0.61%
iter 1280: loss 1.2587, time 561.72ms, mfu 0.62%
iter 1290: loss 1.2917, time 552.71ms, mfu 0.62%
iter 1300: loss 1.3048, time 552.37ms, mfu 0.63%
iter 1310: loss 1.2361, time 552.03ms, mfu 0.63%
iter 1320: loss 1.2964, time 552.58ms, mfu 0.64%
iter 1330: loss 1.2656, time 551.71ms, mfu 0.64%
iter 1340: loss 1.3025, time 559.01ms, mfu 0.64%
iter 1350: loss 1.2577, time 553.13ms, mfu 0.65%
iter 1360: loss 1.2693, time 553.54ms, mfu 0.65%
iter 1370: loss 1.2573, time 542.13ms, mfu 0.65%
iter 1380: loss 1.2650, time 550.08ms, mfu 0.66%
iter 1390: loss 1.2554, time 570.98ms, mfu 0.66%
iter 1400: loss 1.2565, time 555.49ms, mfu 0.66%
iter 1410: loss 1.2508, time 551.40ms, mfu 0.66%
iter 1420: loss 1.2701, time 550.34ms, mfu 0.66%
iter 1430: loss 1.2449, time 551.11ms, mfu 0.66%
iter 1440: loss 1.2566, time 551.64ms, mfu 0.66%
iter 1450: loss 1.2251, time 559.38ms, mfu 0.66%
iter 1460: loss 1.2408, time 556.90ms, mfu 0.66%
iter 1470: loss 1.2221, time 552.63ms, mfu 0.67%
iter 1480: loss 1.2097, time 553.56ms, mfu 0.67%
iter 1490: loss 1.2412, time 557.95ms, mfu 0.67%
step 1500: train loss 1.1543, val loss 1.4830
saving checkpoint to out-shakespeare-char
iter 1500: loss 1.1830, time 59752.80ms, mfu 0.60%
iter 1510: loss 1.2284, time 553.59ms, mfu 0.61%
iter 1520: loss 1.2213, time 561.68ms, mfu 0.61%
iter 1530: loss 1.2494, time 559.13ms, mfu 0.62%
iter 1540: loss 1.1955, time 551.97ms, mfu 0.62%
iter 1550: loss 1.2246, time 564.33ms, mfu 0.63%
iter 1560: loss 1.2110, time 554.25ms, mfu 0.63%
iter 1570: loss 1.2399, time 551.48ms, mfu 0.64%
iter 1580: loss 1.2050, time 551.59ms, mfu 0.64%
iter 1590: loss 1.1844, time 551.84ms, mfu 0.64%
iter 1600: loss 1.1939, time 552.08ms, mfu 0.65%
iter 1610: loss 1.2391, time 557.00ms, mfu 0.65%
iter 1620: loss 1.1853, time 563.98ms, mfu 0.65%
iter 1630: loss 1.2041, time 552.55ms, mfu 0.65%
iter 1640: loss 1.2099, time 551.43ms, mfu 0.66%
iter 1650: loss 1.1770, time 551.53ms, mfu 0.66%
iter 1660: loss 1.2165, time 559.84ms, mfu 0.66%
iter 1670: loss 1.1947, time 554.02ms, mfu 0.66%
iter 1680: loss 1.1980, time 552.01ms, mfu 0.66%
iter 1690: loss 1.2042, time 556.34ms, mfu 0.66%
iter 1700: loss 1.1940, time 557.30ms, mfu 0.66%
iter 1710: loss 1.1840, time 565.87ms, mfu 0.66%
iter 1720: loss 1.1788, time 559.86ms, mfu 0.66%
iter 1730: loss 1.1927, time 557.18ms, mfu 0.66%
iter 1740: loss 1.1655, time 554.95ms, mfu 0.66%
step 1750: train loss 1.1045, val loss 1.4794
saving checkpoint to out-shakespeare-char
iter 1750: loss 1.1849, time 61194.74ms, mfu 0.60%
iter 1760: loss 1.1925, time 553.05ms, mfu 0.61%
iter 1770: loss 1.2005, time 557.41ms, mfu 0.61%
iter 1780: loss 1.1918, time 552.21ms, mfu 0.62%
iter 1790: loss 1.1868, time 556.10ms, mfu 0.62%
iter 1800: loss 1.1876, time 551.93ms, mfu 0.63%
iter 1810: loss 1.1700, time 555.44ms, mfu 0.63%
iter 1820: loss 1.1705, time 552.40ms, mfu 0.64%
iter 1830: loss 1.1638, time 551.45ms, mfu 0.64%
iter 1840: loss 1.1584, time 553.27ms, mfu 0.64%
iter 1850: loss 1.1631, time 551.71ms, mfu 0.65%
iter 1860: loss 1.1780, time 555.21ms, mfu 0.65%
iter 1870: loss 1.1444, time 559.78ms, mfu 0.65%
iter 1880: loss 1.1744, time 554.84ms, mfu 0.65%
iter 1890: loss 1.1785, time 551.99ms, mfu 0.66%
iter 1900: loss 1.1266, time 552.34ms, mfu 0.66%
iter 1910: loss 1.1678, time 556.59ms, mfu 0.66%
iter 1920: loss 1.1699, time 554.66ms, mfu 0.66%
iter 1930: loss 1.1430, time 569.99ms, mfu 0.66%
iter 1940: loss 1.1301, time 558.90ms, mfu 0.66%
iter 1950: loss 1.1422, time 552.20ms, mfu 0.66%
iter 1960: loss 1.1558, time 554.93ms, mfu 0.66%
iter 1970: loss 1.1492, time 552.60ms, mfu 0.66%
iter 1980: loss 1.1478, time 574.92ms, mfu 0.66%
iter 1990: loss 1.1507, time 551.30ms, mfu 0.66%
step 2000: train loss 1.0553, val loss 1.4855
iter 2000: loss 1.1282, time 60124.15ms, mfu 0.60%
iter 2010: loss 1.1286, time 550.97ms, mfu 0.61%
iter 2020: loss 1.1236, time 554.01ms, mfu 0.61%
iter 2030: loss 1.1506, time 561.99ms, mfu 0.62%
iter 2040: loss 1.1420, time 554.37ms, mfu 0.62%
iter 2050: loss 1.1157, time 551.05ms, mfu 0.63%
iter 2060: loss 1.1016, time 551.24ms, mfu 0.63%
iter 2070: loss 1.1268, time 553.76ms, mfu 0.64%
iter 2080: loss 1.1195, time 581.99ms, mfu 0.64%
iter 2090: loss 1.1373, time 567.18ms, mfu 0.64%
iter 2100: loss 1.1348, time 570.68ms, mfu 0.64%
iter 2110: loss 1.1328, time 607.28ms, mfu 0.64%
iter 2120: loss 1.1314, time 589.03ms, mfu 0.64%
iter 2130: loss 1.1409, time 538.28ms, mfu 0.64%
iter 2140: loss 1.1371, time 569.71ms, mfu 0.64%
iter 2150: loss 1.1149, time 552.39ms, mfu 0.65%
iter 2160: loss 1.1389, time 566.33ms, mfu 0.65%
iter 2170: loss 1.1343, time 553.42ms, mfu 0.65%
iter 2180: loss 1.1074, time 552.94ms, mfu 0.65%
iter 2190: loss 1.1058, time 580.80ms, mfu 0.65%
iter 2200: loss 1.1231, time 555.56ms, mfu 0.65%
iter 2210: loss 1.1039, time 551.99ms, mfu 0.66%
iter 2220: loss 1.1198, time 554.06ms, mfu 0.66%
iter 2230: loss 1.1214, time 551.65ms, mfu 0.66%
iter 2240: loss 1.1345, time 552.51ms, mfu 0.66%
step 2250: train loss 1.0096, val loss 1.4932
iter 2250: loss 1.1083, time 60065.69ms, mfu 0.60%
iter 2260: loss 1.1070, time 566.74ms, mfu 0.60%
iter 2270: loss 1.1310, time 555.64ms, mfu 0.61%
iter 2280: loss 1.1004, time 560.96ms, mfu 0.61%
iter 2290: loss 1.1432, time 552.51ms, mfu 0.62%
iter 2300: loss 1.1231, time 552.93ms, mfu 0.63%
iter 2310: loss 1.0948, time 570.76ms, mfu 0.63%
iter 2320: loss 1.0893, time 564.25ms, mfu 0.63%
iter 2330: loss 1.0998, time 589.45ms, mfu 0.63%
iter 2340: loss 1.1214, time 553.77ms, mfu 0.64%
iter 2350: loss 1.0981, time 567.91ms, mfu 0.64%
iter 2360: loss 1.1017, time 633.83ms, mfu 0.63%
iter 2370: loss 1.0842, time 553.88ms, mfu 0.64%
iter 2380: loss 1.0867, time 572.68ms, mfu 0.64%
iter 2390: loss 1.0773, time 551.34ms, mfu 0.64%
iter 2400: loss 1.0775, time 573.79ms, mfu 0.64%
iter 2410: loss 1.0674, time 550.84ms, mfu 0.65%
iter 2420: loss 1.0797, time 554.40ms, mfu 0.65%
iter 2430: loss 1.0501, time 556.28ms, mfu 0.65%
iter 2440: loss 1.0588, time 551.32ms, mfu 0.65%
iter 2450: loss 1.0736, time 551.17ms, mfu 0.66%
iter 2460: loss 1.0897, time 550.98ms, mfu 0.66%
iter 2470: loss 1.0865, time 550.08ms, mfu 0.66%
iter 2480: loss 1.0832, time 551.02ms, mfu 0.66%
iter 2490: loss 1.0572, time 556.20ms, mfu 0.66%
step 2500: train loss 0.9596, val loss 1.5051
iter 2500: loss 1.0812, time 59248.44ms, mfu 0.60%
iter 2510: loss 1.0700, time 550.40ms, mfu 0.60%
iter 2520: loss 1.0479, time 550.29ms, mfu 0.61%
iter 2530: loss 1.0540, time 552.82ms, mfu 0.62%
iter 2540: loss 1.0476, time 550.02ms, mfu 0.62%
iter 2550: loss 1.0712, time 551.44ms, mfu 0.63%
iter 2560: loss 1.0607, time 550.71ms, mfu 0.63%
iter 2570: loss 1.0754, time 550.50ms, mfu 0.64%
iter 2580: loss 1.0825, time 551.13ms, mfu 0.64%
iter 2590: loss 1.0586, time 550.48ms, mfu 0.65%
iter 2600: loss 1.0692, time 553.71ms, mfu 0.65%
iter 2610: loss 1.0464, time 553.68ms, mfu 0.65%
iter 2620: loss 1.0358, time 554.06ms, mfu 0.65%
iter 2630: loss 1.0246, time 550.26ms, mfu 0.66%
iter 2640: loss 1.0398, time 550.26ms, mfu 0.66%
iter 2650: loss 1.0641, time 550.63ms, mfu 0.66%
iter 2660: loss 1.0417, time 551.02ms, mfu 0.66%
iter 2670: loss 1.0149, time 552.52ms, mfu 0.66%
iter 2680: loss 1.0514, time 550.86ms, mfu 0.66%
iter 2690: loss 1.0559, time 552.26ms, mfu 0.66%
iter 2700: loss 1.0196, time 550.63ms, mfu 0.67%
iter 2710: loss 1.0433, time 550.65ms, mfu 0.67%
iter 2720: loss 1.0508, time 550.90ms, mfu 0.67%
iter 2730: loss 1.0634, time 549.64ms, mfu 0.67%
iter 2740: loss 1.0362, time 551.38ms, mfu 0.67%
step 2750: train loss 0.9133, val loss 1.5234
iter 2750: loss 1.0261, time 59383.91ms, mfu 0.60%
iter 2760: loss 1.0220, time 551.03ms, mfu 0.61%
iter 2770: loss 1.0251, time 562.16ms, mfu 0.62%
iter 2780: loss 1.0189, time 551.17ms, mfu 0.62%
iter 2790: loss 1.0327, time 550.94ms, mfu 0.63%
iter 2800: loss 1.0087, time 552.90ms, mfu 0.63%
iter 2810: loss 1.0431, time 553.87ms, mfu 0.64%
